idx,transaction_id,user_id,transaction_date,product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,merchant_id,device_type,location,USD
1,4dac3ea3-6492-46ec-80b8-dc45c3ad0b14,USER__001,2025-01-05,Rent Payment,2BHK Flat Deposit,Airbnb,1525.39,36.69,19.19,186,Debit Card,Successful,MERCH_0083,iOS,Urban,18.744960000000003
2,a903ed9f-eb84-47e7-b8aa-fd1786c919cf,USER__002,2024-10-12,Gas Bill,Commercial Gas Connection,Adani Gas,1495.4,28.19,89.99,182,UPI,Successful,MERCH_0163,iOS,Urban,18.28308
3,2a393013-733c-4add-9f09-bed1eeb33676,USER__003,2024-11-24,Bus Ticket,Semi-Sleeper,MakeMyTrip Bus,1267.71,11.36,95.7,994,UPI,Successful,MERCH_0320,iOS,Urban,15.34884
4,9a07ad19-4673-4794-9cd2-9b139f39c715,USER__004,2024-10-30,Internet Bill,4G Unlimited Plan,Airtel Broadband,9202.63,6.41,82.24,409,Debit Card,Successful,MERCH_0194,Android,Urban,110.50847999999999
5,76418260-c985-4011-979d-0914604d0d68,USER__005,2025-01-06,Loan Repayment,Home Loan EMI,Axis Bank,3100.58,41.15,40.47,837,Debit Card,Successful,MERCH_0504,Android,Urban,37.70076
6,2ee6c8d8-9e9e-47b6-95e8-932af851ca43,USER__006,2024-09-03,Flight Booking,Delhi to Mumbai,Yatra,8430.75,44.55,52.61,269,UPI,Successful,MERCH_0476,Android,Urban,101.7036
7,89df83e5-98d3-4c0f-b273-59b0d057fc34,USER__007,2024-12-07,Hotel Booking,Villa,Treebo,6688.17,49.62,22.18,58,UPI,Successful,MERCH_0441,Android,Urban,80.85348
8,1a8ab910-657a-4e57-90ec-90420290e8a1,USER__008,2024-10-18,Gas Bill,Piped Natural Gas,Adani Gas,1802.28,0.11,14.56,950,UPI,Successful,MERCH_0938,iOS,Urban,21.62868
9,48fc902d-0952-4a20-9d57-b54663affe79,USER__009,2024-09-15,Internet Bill,Broadband 50Mbps Plan,Airtel Broadband,4262.28,2.66,67.63,675,UPI,Successful,MERCH_0156,iOS,Urban,51.17928
10,19c7d2d5-8566-42ba-95aa-8d803cfeeffd,USER__010,2024-09-07,Insurance Premium,Term Life Policy,Max Life,2207.9,45.7,21.87,129,Wallet Balance,Successful,MERCH_0245,iOS,Urban,27.0432
11,b7d8c70d-b6c8-433b-9f80-f9f5ce2d4fc4,USER__011,2024-12-01,Online Shopping,Fitness Tracker,Flipkart,3186.45,36.06,16.12,812,UPI,Successful,MERCH_0371,iOS,Suburban,38.67012
12,28895ba8-e569-4de1-a8a7-4d24170569c0,USER__012,2025-01-07,Mobile Recharge,Prepaid Plan 399,BSNL,403.2,10.51,27.03,334,Credit Card,Successful,MERCH_0376,Android,Rural,4.96452
13,67709f94-e412-46f9-9358-c1203a7f4ade,USER__013,2024-10-01,Online Shopping,Laptop Backpack,Myntra,9421.81,13.69,66.79,522,UPI,Successful,MERCH_0130,Android,Suburban,113.226
14,2b99ee3a-d0a0-413f-a8c7-83c4976e4994,USER__014,2024-12-14,Electricity Bill,Temporary Connection Bill,BSES,5297.09,5.81,95.25,910,Wallet Balance,Successful,MERCH_0961,Android,Urban,63.634800000000006
15,08bd39d8-56cc-4bdf-ae2f-9c515145290d,USER__015,2024-12-09,Rent Payment,Co-working Space,NoBroker,3101.18,43.42,81.83,882,Bank Transfer,Successful,MERCH_0227,Android,Urban,37.7352
16,08daafc2-28d9-4bed-a414-fd185a73216d,USER__016,2024-12-16,Gas Bill,Auto LPG,Indraprastha Gas,1440.26,7.56,1.35,547,Debit Card,Successful,MERCH_0240,iOS,Suburban,17.37384
17,29e70ed2-53d7-4d3e-bfa4-a43a01b3c43a,USER__017,2024-10-05,Streaming Service,Premium Plan,Netflix,2402.15,47.58,21.69,578,Debit Card,Successful,MERCH_0201,Android,Rural,29.39676
18,b44347b1-6541-4e51-8d10-8c8290455a07,USER__018,2024-11-21,Grocery Shopping,Dairy Milk Chocolate,Flipkart Supermart,3595.19,14.82,10.09,230,Wallet Balance,Successful,MERCH_0933,Android,Urban,43.32012
19,f0557048-85f4-48d1-a39f-c8820380254c,USER__019,2024-09-18,Flight Booking,Delhi to Mumbai,Yatra,9930.71,43.57,35.17,759,Credit Card,Successful,MERCH_0407,Android,Urban,119.69135999999999
20,270daf0a-8051-4c9b-8391-130eb2072ea8,USER__020,2024-10-18,Taxi Fare,Share Ride,Meru,307.81,3.26,2.42,568,UPI,Successful,MERCH_0655,Web,Rural,3.73284
21,333d21ec-009d-4791-a25f-727ba14174fb,USER__021,2025-01-01,Taxi Fare,Share Ride,Ola,8996.0,35.05,14.66,779,Bank Transfer,Successful,MERCH_0685,Android,Urban,108.37259999999999
22,bb2a7fb0-ab50-4a32-8ebc-b914512ff56b,USER__022,2024-10-11,Gaming Credits,500 Gems Pack,Roblox,1558.03,33.53,96.45,254,Credit Card,Successful,MERCH_0885,Android,Urban,19.09872
23,d447afd8-0001-4ea2-9e42-24e83d5ecd6a,USER__023,2024-11-22,Water Bill,Industrial Use,Delhi Jal Board,2699.87,14.68,54.23,773,Bank Transfer,Successful,MERCH_0760,Android,Rural,32.5746
24,f8c53632-5ccb-4a8c-a48a-38ff20d1f05d,USER__024,2024-10-17,Bus Ticket,AC Seater,MakeMyTrip Bus,2991.37,15.24,63.7,468,Debit Card,Successful,MERCH_0330,Web,Suburban,36.079319999999996
25,1314dd52-b80f-4b5f-9e4c-2834731a390e,USER__025,2024-10-12,Rent Payment,Commercial Space Rent,Nestaway,5140.78,0.84,15.7,519,Debit Card,Successful,MERCH_0534,Android,Urban,61.69944
26,1dab5c5f-d3fb-43de-a225-29c113d42a49,USER__026,2024-10-09,Online Shopping,Smart LED TV,Flipkart,7076.38,19.16,41.87,202,Wallet Balance,Successful,MERCH_0709,iOS,Urban,85.14648
27,8bc5bb94-fead-469a-9a3a-50bd1ba3e5a7,USER__027,2024-12-03,Flight Booking,Chennai to Hyderabad,Yatra,2956.08,8.75,20.1,556,Wallet Balance,Successful,MERCH_0153,Android,Suburban,35.57796
28,37bf717f-c8f9-46c9-baf5-0d66ac683bab,USER__028,2024-12-19,Loan Repayment,Car Loan Installment,Axis Bank,6916.55,37.41,50.01,616,UPI,Successful,MERCH_0009,Android,Suburban,83.44752
29,dbf8a78a-9f24-433c-b917-216835e77971,USER__029,2024-11-06,Taxi Fare,Share Ride,Ola,5642.55,33.5,23.13,38,Bank Transfer,Successful,MERCH_0838,Web,Rural,68.1126
30,cdfbd280-df3c-4003-bf4c-c258705becff,USER__030,2024-10-31,Gas Bill,Commercial Gas Connection,Mahanagar Gas,9734.95,48.71,87.78,447,UPI,Successful,MERCH_0390,Android,Urban,117.40392
31,9b904efa-3212-420a-a6be-dc81021c3e9d,USER__031,2024-10-17,Electricity Bill,Residential Bill,MSEDCL,1916.58,38.48,10.81,83,Credit Card,Successful,MERCH_0043,iOS,Urban,23.46072
32,077cfec0-22d4-4dec-95bd-eb2cc5d4c25e,USER__032,2024-12-30,Taxi Fare,Share Ride,Jugnoo,2014.63,23.48,92.5,370,Wallet Balance,Successful,MERCH_0074,Android,Urban,24.457320000000003
33,b7ca9f03-f6e8-455e-844a-b91441255cc9,USER__033,2024-12-28,Water Bill,Commercial Property,Hyderabad Water Board,1296.33,43.54,87.9,698,Debit Card,Successful,MERCH_0448,Android,Urban,16.07844
34,70f52836-0d7b-49f2-af0b-a390f87693a2,USER__034,2024-12-31,Electricity Bill,Agricultural Bill,Tata Power,9313.74,44.37,16.47,594,Bank Transfer,Successful,MERCH_0203,Android,Rural,112.29732000000001
35,d050b5a1-b31b-4c46-aa89-8c5a78200102,USER__035,2024-09-01,Bus Ticket,Non-AC Seater,RedBus,6734.22,36.88,64.16,424,Wallet Balance,Successful,MERCH_0785,Android,Urban,81.2532
36,d081075a-7ada-47e5-a2d9-1e652a151d8f,USER__036,2024-12-19,Internet Bill,4G Unlimited Plan,Jio Fiber,1760.92,38.5,86.45,280,Bank Transfer,Successful,MERCH_0630,Web,Rural,21.593040000000002
37,1d870c66-f544-4a8f-8533-ec11510773b1,USER__037,2024-10-22,Insurance Premium,Health Insurance,Max Life,5183.52,35.92,41.85,806,UPI,Successful,MERCH_0074,Android,Urban,62.633280000000006
38,3361b17a-9c0e-4ff3-8c2d-fd87a63d6110,USER__038,2024-11-19,Internet Bill,Business Internet Plan,ACT Fibernet,8721.2,34.19,70.07,877,Credit Card,Successful,MERCH_0547,Android,Urban,105.06468000000002
39,a4fe9f29-a3f4-4516-a39f-861aa0cb60b7,USER__039,2024-10-16,Gaming Credits,Legendary Weapon,Call of Duty Mobile,7975.27,3.56,18.94,349,Bank Transfer,Successful,MERCH_0251,Android,Suburban,95.74596000000001
40,2ae5a3bb-d9d0-4f64-9922-04b8344108a5,USER__040,2024-09-28,Movie Ticket,Baahubali 2,Carnival Cinemas,5741.96,24.87,3.55,60,UPI,Successful,MERCH_0245,Android,Urban,69.20196
41,bd51839f-7dd2-4d26-91e2-4504b79c1dde,USER__041,2025-01-02,Loan Repayment,Business Loan Repayment,ICICI Bank,2578.28,35.06,59.04,78,Bank Transfer,Successful,MERCH_0073,Android,Urban,31.360080000000004
