Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency,USD,Merchant
20/09/2018 12:04,Cash,Transportation,Train,2 Place 5 to Place 0,30.0,Expense,INR,0.36,Home Depot
20/09/2018 12:03,Cash,Food,snacks,Idli medu Vada mix 2 plates,60.0,Expense,INR,0.72,Starbucks
19/09/2018,Saving Bank account 1,subscription,Netflix,1 month subscription,199.0,Expense,INR,2.388,Starbucks
17/09/2018 23:41,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,19.0,Expense,INR,0.228,Lyft
16/09/2018 17:15,Cash,Festivals,Ganesh Pujan,Ganesh idol,251.0,Expense,INR,3.012,Target
15/09/2018 6:34,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,200.0,Expense,INR,2.4,Uber
14/09/2018 5:39,Cash,Transportation,auto,Place 2 station to Permanent Residence,50.0,Expense,INR,0.6,Home Depot
13/09/2018 21:35,Saving Bank account 1,Transportation,Train,2 Place 0 to Place 3,40.0,Expense,INR,0.48,Walmart
13/09/2018 21:01,Credit Card,Other,,HBR 2 Months subscription,83.0,Expense,INR,0.996,Walmart
13/09/2018 21:01,Cash,Food,Grocery,1kg atta,46.0,Expense,INR,0.552,Starbucks
13/09/2018,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR,60.0,Starbucks
13/09/2018,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR,60.0,Shell
12/09/2018,Credit Card,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR,8.004,Target
11/09/2018,Saving Bank account 1,Food,Lunch,Home Food Delivery,650.0,Expense,INR,7.8,eBay
11/09/2018,Saving Bank account 1,Other,,From Family,3500.0,Income,INR,42.0,Starbucks
11/09/2018,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR,0.432,Starbucks
10/09/2018,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR,0.432,Target
8/09/2018,Cash,Family,Pocket money,,40.0,Expense,INR,0.48,Interac Transfer
7/09/2018,Cash,Food,Milk,Half lit  milk,37.0,Expense,INR,0.444,Uber
7/09/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000.0,Transfer-Out,INR,12.0,Amazon
6/09/2018,Cash,Food,snacks,Amul butter,55.0,Expense,INR,0.66,Uber
5/09/2018,Cash,Apparel,Laundry,11 clothes ironing,77.0,Expense,INR,0.924,Target
5/09/2018,Cash,Food,snacks,Chinese Bhel,30.0,Expense,INR,0.36,Target
5/09/2018,Cash,Food,snacks,Shev Puri,40.0,Expense,INR,0.48,Target
5/09/2018,Cash,Food,snacks,2 kachori,24.0,Expense,INR,0.288,Lyft
5/09/2018,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR,0.432,Starbucks
5/09/2018,Saving Bank account 1,Food,breakfast,Bread,18.0,Expense,INR,0.216,Home Depot
3/09/2018,Cash,Family,Pocket money,,2000.0,Expense,INR,24.0,Interac Transfer
1/09/2018,Saving Bank account 1,Public Provident Fund,,,12500.0,Transfer-Out,INR,150.0,Target
1/09/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000.0,Transfer-Out,INR,24.0,Starbucks
31/08/2018 15:12,Cash,Family,Pocket money,,1000.0,Expense,INR,12.0,Interac Transfer
31/08/2018 15:12,Cash,Gift,,farewell contribution,118.0,Expense,INR,1.416,Shell
31/08/2018 10:01,Credit Card,Food,Dinner,Domino's Pizza,510.85,Expense,INR,6.1302,Amazon
31/08/2018 9:27,Saving Bank account 1,Salary,,From workplace ,70255.0,Income,INR,843.06,Starbucks
